,IR,guitar_mapping,mic_mapping,excitation_type,excitation_length,has_ring,volume,if_params,weiner_params,acdw_params,Inverse_Filtering_Similarity_Melody,Inverse_Filtering_Correlation_Melody,Weiner_Similarity_Melody,Weiner_Correlation_Melody,ACDW_Similarity_Melody,ACDW_Correlation_Melody,Inverse_Filtering_Similarity_Chords,Inverse_Filtering_Correlation_Chords,Weiner_Similarity_Chords,Weiner_Correlation_Chords,ACDW_Similarity_Chords,ACDW_Correlation_Chords
21,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,Bird_Aspen_DH37_to_good_takamine_EG523SC,piezo_to_mic,sweep,10s_excitation,no_ring,loud,{'ir_length': np.int64(529200)},"{'ir_length': np.int64(529200), 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",5.101250076369551e-06,,4.595593134843025e-06,,6.652639595688543e-06,,1.8047136776377743e-06,,2.907079490776613e-06,,4.3317671396963205e-06,
22,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,Bird_Aspen_DH37_to_good_takamine_EG523SC,mic_to_mic,sweep,10s_excitation,no_ring,med,{'ir_length': np.int64(529200)},"{'ir_length': np.int64(529200), 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",3.1719400254081647e-06,,4.622305205947499e-06,,5.556943498060606e-06,,2.6575425236964357e-06,,1.9942780281680717e-06,,2.6907132387032367e-06,
23,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,Bird_Aspen_DH37_to_good_takamine_EG523SC,piezo_to_mic,sweep,10s_excitation,no_ring,med,{'ir_length': np.int64(529200)},"{'ir_length': np.int64(529200), 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",4.999972765154229e-06,,4.569603416197806e-06,,4.6257661670493325e-06,,3.4578262524350375e-06,,2.320555398454172e-06,,4.114366780720317e-06,
24,Bird_Aspen_DH37_mic_to_AJ_JJasmine_JF37CD_mic,Bird_Aspen_DH37_to_AJ_JJasmine_JF37CD,mic_to_mic,sweep,3s_excitation,ring,loud,{'ir_length': np.int64(29400)},"{'ir_length': 22050, 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",4.445282349193975e-06,,5.256345786277747e-06,,9.662621704092094e-06,,3.872180401642366e-06,,3.159499546952803e-06,,4.666114623661556e-06,
25,Bird_Aspen_DH37_piezo_to_AJ_JJasmine_JF37CD_mic,Bird_Aspen_DH37_to_AJ_JJasmine_JF37CD,piezo_to_mic,sweep,3s_excitation,ring,loud,{'ir_length': np.int64(66150)},"{'ir_length': 22050, 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",6.1512634253978044e-06,,4.0687667733430885e-06,,3.6697822987960402e-06,,2.391703697706737e-06,,2.1267254343505895e-06,,2.6607964464793898e-06,
26,Bird_Aspen_DH37_mic_to_AJ_JJasmine_JF37CD_mic,Bird_Aspen_DH37_to_AJ_JJasmine_JF37CD,mic_to_mic,sweep,3s_excitation,ring,med,{'ir_length': np.int64(66150)},"{'ir_length': 22050, 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",7.638263180338795e-06,,8.608407862869813e-06,,9.540488673132408e-06,,4.192195195864931e-06,,3.4247278051839374e-06,,4.38604000228129e-06,
27,Bird_Aspen_DH37_piezo_to_AJ_JJasmine_JF37CD_mic,Bird_Aspen_DH37_to_AJ_JJasmine_JF37CD,piezo_to_mic,sweep,3s_excitation,ring,med,{'ir_length': np.int64(29400)},"{'ir_length': np.int64(132300), 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",3.5338374289412224e-06,,6.606856151519392e-06,,5.310287109418574e-06,,2.9242895157044933e-06,,2.869013832288724e-06,,2.6481155649536725e-06,
28,Bird_Aspen_DH37_mic_to_AJ_JJasmine_JF37CD_mic,Bird_Aspen_DH37_to_AJ_JJasmine_JF37CD,mic_to_mic,sweep,3s_excitation,no_ring,loud,{'ir_length': np.int64(29400)},"{'ir_length': 22050, 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",5.4898204643589065e-06,,5.406628551644972e-06,,7.373441188839466e-06,,2.830958475228703e-06,,3.445111541292652e-06,,4.810015833168991e-06,
29,Bird_Aspen_DH37_piezo_to_AJ_JJasmine_JF37CD_mic,Bird_Aspen_DH37_to_AJ_JJasmine_JF37CD,piezo_to_mic,sweep,3s_excitation,no_ring,loud,{'ir_length': np.int64(37800)},"{'ir_length': 22050, 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",5.56375434414747e-06,,4.7299921957183265e-06,,2.294537271453379e-06,,3.284506825063541e-06,,3.5880392591749157e-06,,2.7032816853071176e-06,
30,Bird_Aspen_DH37_mic_to_AJ_JJasmine_JF37CD_mic,Bird_Aspen_DH37_to_AJ_JJasmine_JF37CD,mic_to_mic,sweep,3s_excitation,no_ring,med,{'ir_length': np.int64(29400)},"{'ir_length': 22050, 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",5.077077569809311e-06,,5.619519991225149e-06,,9.311920647484947e-06,,4.32751913273602e-06,,2.3749138899068477e-06,,5.278092994388364e-06,
31,Bird_Aspen_DH37_piezo_to_AJ_JJasmine_JF37CD_mic,Bird_Aspen_DH37_to_AJ_JJasmine_JF37CD,piezo_to_mic,sweep,3s_excitation,no_ring,med,{'ir_length': np.int64(29400)},"{'ir_length': 22050, 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",4.6334646504231625e-06,,5.80928200087109e-06,,2.3288534242907384e-06,,3.6915764943551537e-06,,3.458029543107118e-06,,3.0171475512964735e-06,
32,Bird_Aspen_DH37_mic_to_AJ_JJasmine_JF37CD_mic,Bird_Aspen_DH37_to_AJ_JJasmine_JF37CD,mic_to_mic,sweep,5s_excitation,ring,loud,{'ir_length': np.int64(29400)},"{'ir_length': 22050, 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",5.349046201752905e-06,,6.387488060091054e-06,,7.404784637754769e-06,,4.840012473256371e-06,,3.5625543897913715e-06,,4.050296985043485e-06,
33,Bird_Aspen_DH37_piezo_to_AJ_JJasmine_JF37CD_mic,Bird_Aspen_DH37_to_AJ_JJasmine_JF37CD,piezo_to_mic,sweep,5s_excitation,ring,loud,{'ir_length': np.int64(44100)},"{'ir_length': 22050, 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",6.2630705946015705e-06,,5.886911444874082e-06,,2.777345935159481e-06,,2.613045429821097e-06,,3.2515057137703638e-06,,2.8539011938653567e-06,
34,Bird_Aspen_DH37_mic_to_AJ_JJasmine_JF37CD_mic,Bird_Aspen_DH37_to_AJ_JJasmine_JF37CD,mic_to_mic,sweep,5s_excitation,ring,med,{'ir_length': np.int64(33075)},"{'ir_length': 22050, 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",6.501291883865476e-06,,5.233848866328208e-06,,8.502967494794614e-06,,4.30726478578799e-06,,3.827612142195892e-06,,4.325475957701001e-06,
35,Bird_Aspen_DH37_piezo_to_AJ_JJasmine_JF37CD_mic,Bird_Aspen_DH37_to_AJ_JJasmine_JF37CD,piezo_to_mic,sweep,5s_excitation,ring,med,{'ir_length': np.int64(44100)},"{'ir_length': np.int64(264600), 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",5.40322839107919e-06,,5.45978029947652e-06,,3.117336765435245e-06,,3.423960078213236e-06,,2.1466587325908753e-06,,2.780123425454016e-06,
36,Bird_Aspen_DH37_mic_to_AJ_JJasmine_JF37CD_mic,Bird_Aspen_DH37_to_AJ_JJasmine_JF37CD,mic_to_mic,sweep,5s_excitation,no_ring,loud,{'ir_length': np.int64(29400)},"{'ir_length': 22050, 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",5.0115201304682705e-06,,5.518385272462852e-06,,7.663834521046874e-06,,2.7164501419619826e-06,,4.00304543375894e-06,,4.781116845720245e-06,
37,Bird_Aspen_DH37_piezo_to_AJ_JJasmine_JF37CD_mic,Bird_Aspen_DH37_to_AJ_JJasmine_JF37CD,piezo_to_mic,sweep,5s_excitation,no_ring,loud,{'ir_length': np.int64(33075)},"{'ir_length': 22050, 'snr': None, 'window_cut': None}","{'ir_length': None, 'window_end': None}",4.192811163457037e-06,,5.174828327840183e-06,,2.267204161706223e-06,,2.913895853496581e-06,,3.5737362246166462e-06,,2.837851112944361e-06,
